agency,borough,complaint_type,latitude,longitude
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.769229263851095,-73.98674695228712
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.7969168776428,-73.93974235094362
DEP,MANHATTAN,Air Quality,40.76644240418407,-73.98014833555806
DEP,BROOKLYN,Noise,40.678441401180095,-73.94908975130164
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.76530485091791,-73.99328181192091
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.65777425327862,-73.95146625476812
NYPD,STATEN ISLAND,Noise - Street/Sidewalk,40.623967219444296,-74.08160390255297
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.76701146812108,-73.98635750489358
NYPD,QUEENS,Noise - Street/Sidewalk,40.72741281060744,-73.81464217302445
NYPD,BROOKLYN,Illegal Parking,40.61897903765644,-74.03442502639277
NYPD,BROOKLYN,Blocked Driveway,40.63328236687197,-73.92137146781576
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.764522311529376,-73.9894409085029
NYPD,MANHATTAN,Noise - Vehicle,40.82754425928777,-73.94323403307226
NYPD,BRONX,Noise - Residential,40.82105472991427,-73.86577653133281
DEP,MANHATTAN,Noise,40.79080952722421,-73.97670665569086
NYPD,QUEENS,Illegal Parking,40.75856979531557,-73.80704743595689
NYPD,BROOKLYN,Illegal Parking,40.607287288782274,-73.98246817232113
DEP,BRONX,Noise,40.8588491645753,-73.88595187422834
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.86140532416345,-73.92780435447203
DOHMH,BROOKLYN,Rodent,40.676330156205616,-73.92763697887041
TLC,MANHATTAN,Lost Property,40.721734604885576,-73.99199828075187
TLC,MANHATTAN,Lost Property,40.79383829760473,-73.97053709308675
DCA,QUEENS,Consumer Complaint,40.72722150253958,-73.85328365363328
NYPD,BROOKLYN,Illegal Parking,40.607257095484094,-73.98246457880798
DOT,BROOKLYN,Street Condition,40.589271131927646,-73.94254366367647
NYPD,STATEN ISLAND,Noise - Residential,40.63671677551503,-74.11930002633434
TLC,MANHATTAN,Taxi Complaint,40.722944860944025,-74.0102963577412
DOT,BROOKLYN,Traffic Signal Condition,40.61605810396446,-74.02575010378777
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.75680445200432,-73.99463624208241
NYPD,BROOKLYN,Blocked Driveway,40.6012747761976,-74.00052216229953
NYPD,MANHATTAN,Noise - Residential,40.73013570544818,-73.98577693686651
DOT,QUEENS,Street Condition,40.60362532947853,-73.75180898991947
DEP,MANHATTAN,Noise,40.82685369109408,-73.94551463227054
NYPD,BROOKLYN,Blocked Driveway,40.65316318762744,-73.92186339758659
NYPD,BROOKLYN,Noise - Residential,40.677052642029146,-74.00656869459719
